source	name	info	link	lat	long	country	EU_region	typeOPB	typeDOPB	typeBfO	typeCB_OS	type_other	crop_arable	crop_forage	crop_vegetable	crop_fruit_grape	crop_other
FiBL	Rijk Zwaan	Rijk Zwaan is a plant breeding company which develops new vegetable varieties and sell the seeds produced from them all over the world. They have been  working  since  1992  to  offer  a  wide  range  of  organically  produced vegetable seeds, which fully meet the organic seed requirements as recognized by all European certification bodies. Their organic seed portfolio currently comprises 19 crops and a range of more than 400 varieties.	https://organic.rijkzwaan.com/	51.9728786	4.2533762	Netherlands	CE	NOT	NOT	BfO	CB_OS	NOT	NA	NA	NA	NA	NA
Demeter	"Saat:gut e.V.
incl. Apfel:gut"	Saat:gut e.V. cWe are farmers, seed growers and fruit growers, supported by Bioland, Germany’s most influential organic farming association and organic certifier. Additional help comes from organic wholesalers, retailers, seed merchants and many private individuals like organic gardeners or people who simply love good food. If you share our aims you are very welcome to join us and become a member of Saat:Gut.	https://www.saat-gut.org/	54.5577553	9.3738940	Germany	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	NOT	fruit_grape	NOT
ECO-PB	Saatzucht Donau GmbH &CoKG	Plant Breeding for Organic. Wheat breeding for low input and organic farming	http://www.saatzucht-donau.at/	48.1674666	16.6274562	Austria	CE	NOT	NOT	BfO	CB_OS	NOT	arable	NOT	NOT	NOT	NOT
NA	Saatzucht Edelhof	Plant Breeding for Organic. Wheat breeding for low input and organic farming	https://www.saatzucht.edelhof.at/	48.6062721	15.2209169	Austria	CE	NOT	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
Eucarpia symposium	Saatzucht Schweiger GbR	Commercial breeding company interested in organic. They released in 2002 the first wheat cultivar Naturastar with "special suitability for organic agriculture".  There the calles Saatzucht Schweiger. 	http://saatzucht-schweiger.de/sorten/	48.4800905	11.9058243	Germany	CE	NOT	NOT	BfO	NOT	NOT	arable	NOT	NOT	NOT	NOT
Survey	SAT LLauradors de Somnis  ECOLOGICVAL	"Our company is dedicated to the recovery of abandoned lands in the Huerta Valenciana, distributed in 5 municipalities (Silla,
Alcasser, Torrente, Picassent, Almusafes) with a total of 70 hectares, dedicated to alternative crops to citrus, winter horticulture,
all type of cabbages for export and extra‐early pomegranates in summer.
We grow all varieties of cabbages / brasic and cucurbitaceae, with novel varieties, always in organic farming.
We carry out comparative studies with various subscriber systems, green roofs, pollinations,
various preventive treatments, etc"	https://ecologicval.com/en/	39.3715291	-0.4446867	Spain	SE	NOT	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Demeter	Sativa Rheinau AG	"The  Sativa  Rheinau  was  founded  in  1999  to  ensure  an  independent and
“gene-free” seed supply for organic farming.
Sativa  mainly  breeds  vegetable  varieties,  for  which  there  are  hardly  any viable alternatives to hybrid varieties. As a starting material, they mainly use hybrids that are currently available on the market and for which modern breeding has achieved qualities which are also important for organic farming. They have created (or currently breeding) organic varieties for eggplant, broccoli, Chinese cabbage, fennel, carrots, kohlrabi, celeriac, courgette, sweet corn and onion."	"http://www.sativa-rheinau.ch/,http://bit.ly/2chBFlO ,  http://bit.ly/2bOeT7k
, http://bit.ly/2bZxOYr"	47.6435946	8.6055833	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Survey	SRUC - Scotland’s Rural College	We have developed several multiparental populations of spring barley using landrace and modern material. We have been growing this material under field conditions for 6 years without selection. We want to use this material for participatory breeding under organic conditions. We are open to collaboration using this material.	https://www.sruc.ac.uk/	55.9217376	-3.1793961	Scotland	NE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Survey	Stiftung Ökologie und Landbau	private foundation	https://www.soel.de/	NA	NA	Germany	CE	NOT	NOT	NOT	NOT	NOT	NA	NA	NA	NA	NA
Survey	SURINVER EL GRUPO SOCIEDAD COOPERATIVA	We produce a wide range of organic agricultural products for both national and international markets. We need to have a guarantee plant material to obtain the best productions	https://www.surinver.es/en/	37.8658942	-0.8265467	Spain	SE	OPB	NOT	BfO	NOT	NOT	NOT	NOT	NOT	NOT	other
Demeter	Terrabio	"Terra Bio is a group of 80 organic farmers and processors who decided in
1997 to unite their strengths and experiences by forming a cooperative society. They produce organic seeds for several plant species and recently started breeding. They don’t only produce and sell raw materials (seeds) but also process them and have created Terra Bio brand products."	https://terrabio.eu/	43.7867028	12.6305940	Italy	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Demeter Organic plant breeding 	The Seed Cooperative	The Seed Co-operative is the UK's community owned seed company. They grow seeds for everyone, and for the health and well being of people and planet and believe passionately in breeding open pollinated seeds that everyone can grow, everyone can save for the next year, and everyone can afford	https://www.seedcooperative.org.uk/	52.8693288	-0.1411412	United Kingdom	NE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
Survey	The Uk and Ireland Seed Sovereignty Programme in Scotland  (The Gaia Foundation)	Encouraging and supporting crofters and small-scale farmers to re-introduce grain growing and to test and select heritage and landraces on their suitability for local growing conditions and to start producing seed.  This includes testing Scottish landraces from the Outer Hebrides for mainland Highland growing conditions.   Since these are novice growers, it also includes education about the genetics of breeding and understanding the difference between mono-line varieties and mixed populations and landraces.  Furthermore, husbandry and machinery of grain and seed production are part of the experiment and learning process.   All of this under low-input growing conditions.	https://www.seedsovereignty.info/	51.5537415	-0.1607120	Scotland	NE	NOT	NOT	NOT	NOT	other	NOT	NOT	NOT	NOT	other
LIVESEED	Ubios	An organic seed cooperative, set up by several organic farmer cooperatives, and specialised in cereals and grain legumes	http://unionbiosemences.fr/	48.3986073	2.3965759	France	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
Symposium	University of Kassel	Development of composite cross populations of wheat 	https://www.uni-kassel.de/fb11agrar/fachgebiete-einrichtungen/oekologischer-pflanzenschutz/startseite.html	51.3228223	9.5051644	Germany	CE	OPB	NOT	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
LIVESEED	University of Valencia	Works on breeding of tomato and sweet pepper	https://www.uv.es/uvweb/college/en/university-valencia-1285845048380.html	39.4793295	-0.3615750	Spain	SE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
FiBL	Varietas	Varietas mainly works with wild and domesticated tomatoes and potatoes, as well as some other vegetables, trying to cross resistance to diseases or pests from wild forms into our more productive varieties.	http://www.varietas.ch/index.php?lang=en	47.5547032	8.4318093	Switzerland	CE	NOT	NOT	BfO	NOT	NOT	arable	NOT	vegetable	NOT	NOT
Survey	Verein zur Erhaltung der Nutzpflanzenvielfalt 	We maintain germplasm of vegetable Varieties in conservation—rings (Erhalterringe)	https://www.nutzpflanzenvielfalt.de/	50.5393019	9.6481819	Germany	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
Demeter	Vitalis Organic Seeds	"Vitalis Biologische Zaden was established in 1994 and is one of the world's leading  companies  in  organic  seed  production.  They  produce  organically grown seeds  of  reliable varieties that  meet  the  specific demands of  both consumers and organic farmers. For this objective, they breed and select an increasing number of varieties in trials, worlwide, through organic breeding and breeding for organic. 
In 1998, Vitalis joined the Enza Zaden Group, operating as an independent company within the group."	https://eu.biovitalis.eu/	52.161505	6.1170130	Netherlands	CE	OPB	NOT	BfO	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
Walter de Milliano	Walter de Milliano	Sorghum breeding for organic 	Not available	51.3105736	3.4892906	Netherlands	CE	NOT	NOT	BfO	CB_OS	NOT	arable	NOT	NOT	NOT	NOT
FiBL	Zollinger	Since the early 1980s, the Zollingers are focusing on specialities and traditional varieties. The varieties often have long familiy histories, having been selected over generations. They are perfectly adapted to local climates, and reflect their breeders' tastes and preferences. Zollinger sells mainly their products through our website, allowing full control over the offer.	https://www.zollinger.bio/en/home	46.3649254	6.8795026	Switzerland	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
FiBL	Réseau Meuse-Rhin-Moselle	Network of actors that are active in the preservation and promotion of cultivated biodiversity in the Region delimited by the Meuse, the Rhine and the Moselle.	https://reseaurmrmsemences.wordpress.com/	49.800439	5.419877	Belgium	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
FiBL	Bio Loire Océan	Since 2005, farmers grouped together in the Bio Loire Océan association have set up trials on farmers' seeds as part of a participatory selection program.	https://www.bioloireocean.fr/	47.680677	-0.4941125	France	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
FiBL	INRAE Occitanie-Montpellier	As a major player in an inter-institutional agronomic cluster, the INRAE Occitanie-Montpellier centre is building its identity around its research in agriculture, food and the environment.	https://www.inrae.fr/centres/occitanie-montpellier	43.6172816	3.854877	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
FiBL	AGROSEMENS Z.A. du Verdalaï 	AGROSEMENS, a militant actor for local and farmer reproductive seeds. Conservation and improvement breeding programmes.	https://www.agrosemens.com/	43.46509362056655	5.62124121230892	France	CE	OPB	NOT	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
FiBL	KIS – Kmetijski Institut Slovenije – Agricultural Institute of Slovenia	The Agricultural Institute of Slovenia is the leading research institute in the field of agriculture in Slovenia. It comprehensively deals with the issues of modern agriculture and is expanding its activities into the fields of environmental protection and ecology. Areas of activities, among others: genetics, breeding, preservation selection and gene banks in agriculture.	https://www.kis.si/en/	46.06114802611873	14.518516698446774	Slovenia	EE	NOT	NOT	NOT	CB_OS	NOT	arable	NOT	NOT	NOT	NOT
FiBL	Fondazione SIF – Seminare il Futuro	The Seminare il Futuro Foundation was founded in 2019 to research and develop seeds suitable for organic farming in Italy. The Seminare il Futuro Foundation works to recover, safeguard and promote seeds that are 100% suitable for organic farming, able to grow without the use of synthetic chemicals and able to adapt to the different soil and climate conditions.	https://www.seminareilfuturo.it/	45.931081247263364	12.26879412165322	Italy	SE	OPB	NOT	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
FiBL	Ramiro Arnedo S.A	Ramiro Arnedo S.A. started as a seed trading company but for more than two decades it has been strongly committed to knowledge as a generator of wealth. This effort is led by a young and highly qualified team and has led to the development and introduction of many new varieties of lettuce, pepper, aubergine and melon among others.	https://www.ramiroarnedo.com/	42.30692254765824	-1.9676868190169514	Spain	SE	NOT	NOT	NOT	CB_OS	NOT	NOT	NOT	vegetable	NOT	NOT
FiBL	Triptolème	The Triptolème association was born from the initiative of a group of farmers concerned about maintaining the heritage of cultivated biodiversity and know-how related to seeds, working the land and processing products, who have been able to associate craftsmen, researchers, doctors and consumers with their reflections and research. This collective dynamic works for a living local culture.	https://www.triptoleme.org/	48.32212372841892	-2.7501990885394636	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	NOT
FiBL	Association Kaol Kozh	Kaol Kozh takes care of the planning, the screening of the different controls and the bagging. The producer is compensated for his work and for the use of his land and tools. The seed will not be invoiced, only the service surrounding it is subject to a fee. The work carried out in participatory selection has made it possible to save many varieties of cauliflower in the northern coastal zone of France.	http://kaolkozh.bzh/	48.292056733215134	-1.3186981155711703	France	CE	NOT	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	NOT
FiBL	AgroBio Périgord	AgroBio Périgord, among other activities, is dedicated to promoting biodiversity: coordination of the regional programme "Cultivons la biodiversité en Nouvelle-Aquitaine" (Let's cultivate biodiversity in New Aquitaine) which maintains and develops cultivated biodiversity and farmers' know-how, monitoring of experiments on farms, network of amateur gardeners and market gardeners within the Maison de la Semence Paysanne Potagère (House of Vegetable Farmers' Seeds), actions to safeguard wild biodiversity.	http://www.agrobioperigord.fr/	45.14207946113116	0.6763767825709662	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	NOT
FiBL	G.I.E. LE BIAU GERME	In order to preserve the living biodiversity of cultivated plants, a group of farmers produce seeds of old and newer varieties obtained by natural selection methods without any F1 hybrids, freely reproducible. They will give you hardy plants and tasty, fine vegetables.	https://www.biaugerme.com/	44.3505018075888	0.5302549514322089	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	other
FiBL	Sarl Germinance	Germinance is an artisanal company producing organic and biodynamic seeds for individuals and professionals. With a network of about fifty AB certified seed producers, 1/4 of whom practice biodynamics, Germinance offers a wide range of organic seeds: vegetable, aromatic, medicinal, flower, green manure and forage seeds.	https://www.germinance.com/	47.599804139601595	-0.4411278159877588	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	other
FiBL	Graines del Païs	Graines del Païs was created in April 2005 by a small team of farmers in the Languedoc Roussillon region to apply the principles of agro-ecology, transparent fair trade, autonomy, mutual aid between producers and the promotion of biodiversity.	https://grainesdelpais.com/	43.11034528942481	2.045173804706964	France	CE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	NOT	NOT	other
FiBL 	ÖMKi - Research Institute of Organic Agriculture	Research to  increase the diversity of domestic crop production (with within and between species). This will increase the stability of crop cultivation, and broaden the range of both raw and processed foodstuffs available to consumers.	https://biokutatas.hu/en/page/category/diversification 	47.5454854	19.044308	Hungary	EE	NOT	DOPB	NOT	NOT	NOT	arable	NOT	vegetable	NOT	other
ARCHE NOAH	ARCHE NOAH	"Arche Noah is a community seed bank and also a network of gardeners and farmers who are preserving and developing crop diversity. Breeding activities focus on tomato and sugar peas.
More info: https://www.arche-noah.at/english ( in English)
www.bauern-paradeiser.at (page of tomato breeding working group - in German)
"	https://www.arche-noah.at/english	48.5187925	15.6177915	Austria	CE	OPB	DOPB	NOT	NOT	NOT	NOT	NOT	vegetable	NOT	other
